INFO | 
DEBUG |     epoch :  5/100   iteration :  300/ 793   loss : 5.54776
DEBUG |     epoch :  5/100   iteration :  310/ 793   loss : 5.11686
DEBUG |     epoch :  5/100   iteration :  320/ 793   loss : 5.00979
DEBUG |     epoch :  5/100   iteration :  330/ 793   loss : 5.20927
DEBUG |     epoch :  5/100   iteration :  340/ 793   loss : 5.58209
DEBUG |     epoch :  5/100   iteration :  350/ 793   loss : 5.72990
DEBUG |     epoch :  5/100   iteration :  360/ 793   loss : 5.69749
DEBUG |     epoch :  5/100   iteration :  370/ 793   loss : 5.75610
DEBUG |     epoch :  5/100   iteration :  380/ 793   loss : 5.47507
DEBUG |     epoch :  5/100   iteration :  390/ 793   loss : 5.51781
DEBUG |     epoch :  5/100   iteration :  400/ 793   loss : 5.89756
DEBUG |     epoch :  5/100   iteration :  410/ 793   loss : 5.41310
DEBUG |     epoch :  5/100   iteration :  420/ 793   loss : 5.21211
DEBUG |     epoch :  5/100   iteration :  430/ 793   loss : 5.62028
DEBUG |     epoch :  5/100   iteration :  440/ 793   loss : 5.25476
DEBUG |     epoch :  5/100   iteration :  450/ 793   loss : 5.61855
DEBUG |     epoch :  5/100   iteration :  460/ 793   loss : 5.28257
DEBUG |     epoch :  5/100   iteration :  470/ 793   loss : 5.24615
DEBUG |     epoch :  5/100   iteration :  480/ 793   loss : 5.64318
DEBUG |     epoch :  5/100   iteration :  490/ 793   loss : 5.44821
DEBUG |     epoch :  5/100   iteration :  500/ 793   loss : 5.21253
DEBUG |     epoch :  5/100   iteration :  510/ 793   loss : 5.02793
DEBUG |     epoch :  5/100   iteration :  520/ 793   loss : 5.51599
DEBUG |     epoch :  5/100   iteration :  530/ 793   loss : 5.29733
DEBUG |     epoch :  5/100   iteration :  540/ 793   loss : 5.32182
DEBUG |     epoch :  5/100   iteration :  550/ 793   loss : 5.01752
DEBUG |     epoch :  5/100   iteration :  560/ 793   loss : 5.54832
DEBUG |     epoch :  5/100   iteration :  570/ 793   loss : 5.54097
DEBUG |     epoch :  5/100   iteration :  580/ 793   loss : 5.34219
DEBUG |     epoch :  5/100   iteration :  590/ 793   loss : 5.66702
DEBUG |     epoch :  5/100   iteration :  600/ 793   loss : 5.51290
DEBUG |     epoch :  5/100   iteration :  610/ 793   loss : 5.69127
